p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
6.77321736377452e-301,1.12547936536091,0.982,0.804,1.67975790621608e-298,10,Dner
7.5844801084563e-279,1.62000388337938,0.869,0.517,1.88095106689716e-276,10,Aqp4
6.07921451633957e-262,1.73986106040538,0.781,0.465,1.50764520005221e-259,10,Rmst
8.59810370006499e-256,1.54716729901041,0.534,0.18,2.13232971761612e-253,10,Btbd11
2.67045455307462e-235,2.37517112661974,0.209,0.034,6.62272729162506e-233,10,Tacr1
2.94809763358556e-222,1.50004808373246,0.607,0.259,7.31128213129218e-220,10,Rnf152
5.51049534527297e-203,1.49421489621744,0.575,0.245,1.3666028456277e-200,10,Cacna2d2
8.581567744513e-195,1.34377381394548,0.58,0.264,2.12822880063922e-192,10,Vat1l
1.59169784889892e-193,1.96786945347494,0.337,0.097,3.94741066526933e-191,10,Sncg
1.40397314397718e-170,1.46228873743342,0.73,0.453,3.48185339706339e-168,10,Slc39a12
1.40647967934347e-168,1.10129821619956,0.565,0.242,3.48806960477182e-166,10,Nr2f2
2.29273780446426e-157,1.13481763342976,0.868,0.673,5.68598975507136e-155,10,Acsbg1
9.28991635513808e-156,1.31117770925562,0.548,0.259,2.30389925607424e-153,10,Cntnap4
3.29916220130926e-142,1.0890574616252,0.812,0.612,8.18192225924697e-140,10,Ntsr2
3.08056596832621e-114,1.44681350121228,0.519,0.275,7.63980360144901e-112,10,Chrm2
7.01425987261604e-110,1.4138608471603,0.495,0.265,1.73953644840878e-107,10,Rfx4
1.27791821205798e-106,1.88275587342865,0.484,0.283,3.16923716590378e-104,10,Mdga1
4.77157935165803e-100,1.71273509184219,0.462,0.25,1.18335167921119e-97,10,Unc13c
5.91794072326139e-91,1.08622052314219,0.777,0.615,1.46764929936883e-88,10,Clmn
4.76417551114568e-81,1.2575158006178,0.532,0.36,1.18151552676413e-78,10,Nwd2
4.90055151384668e-51,1.41439136876715,0.177,0.072,1.21533677543398e-48,10,Pkib
1.73441753296954e-49,1.14481445580463,0.235,0.111,4.30135548176446e-47,10,Kctd8
3.50197028369639e-45,1.07781088334383,0.305,0.169,8.68488630356705e-43,10,Angpt1
2.94156489593863e-17,1.06840381375941,0.104,0.053,7.29508094192781e-15,10,Ebf3
0,5.02745094556011,0.962,0.104,0,11,Cd53
0,5.20431082516203,0.971,0.132,0,11,Siglech
0,5.08604537741064,0.971,0.146,0,11,Trem2
0,5.35668355313001,0.882,0.059,0,11,Cd300c2
0,5.29531796562267,0.873,0.054,0,11,Ikzf1
0,4.87381057605364,0.998,0.213,0,11,Laptm5
0,3.97384633730977,0.874,0.143,0,11,Cd68
0,4.99279441278232,0.778,0.047,0,11,Spi1
0,2.2180955446496,0.69,0.168,0,11,Arhgap25
0,3.52027397077106,0.496,0.047,0,11,Sla
0,2.52826962070658,0.953,0.509,0,11,Kctd12
1.3988118211523e-241,2.2663777496853,0.269,0.048,3.46905331645771e-239,11,Ebf3
2.49183042486086e-121,1.05367447901216,0.527,0.229,6.17973945365494e-119,11,Inpp4b
4.16429488771245e-94,1.18261905484327,0.626,0.371,1.03274513215269e-91,11,Lyz2
5.79195103647521e-59,1.0890605981205,0.268,0.113,1.43640385704585e-56,11,Eya4
2.61379206034243e-58,1.47839401005769,0.197,0.072,6.48220430964922e-56,11,Pkib
0,4.12453226598784,0.954,0.175,0,12,Syt6
0,4.03382161483613,0.993,0.255,0,12,Necab2
0,4.34117622423723,0.828,0.092,0,12,Kctd8
0,3.99700957402645,0.781,0.084,0,12,Sncg
0,3.11286612683072,0.947,0.253,0,12,Vat1l
0,3.56913280164992,0.948,0.267,0,12,Nrp2
0,2.63969501919003,0.969,0.298,0,12,Slc17a6
0,4.64037209234775,1,0.345,0,12,Nwd2
0,2.57837293293567,0.826,0.239,0,12,Cacna2d2
0,2.50186217257187,0.918,0.355,0,12,Thsd7a
0,3.38794349062405,0.673,0.128,0,12,Calb2
0,2.33679880985545,0.787,0.253,0,12,Cntnap4
0,2.80493558992685,0.951,0.421,0,12,Gucy1a1
0,2.47642573545634,0.951,0.439,0,12,Cpne4
0,6.21983527442769,0.522,0.015,0,12,Chat
0,5.05971527458436,0.523,0.025,0,12,Tacr1
0,2.92695179912617,0.537,0.088,0,12,Fibcd1
0,2.73769258390543,0.467,0.066,0,12,Ano1
0,1.59049473549696,0.997,0.804,0,12,Dner
2.06711898674533e-281,2.15882874180936,0.527,0.154,5.12645508712843e-279,12,Cbln4
5.22353591434608e-263,1.75739404473551,0.793,0.409,1.29543690675783e-260,12,Slit2
2.1189510519599e-230,1.47688054246671,0.655,0.256,5.25499860886056e-228,12,Sema3e
8.27742668297528e-225,1.7071841958227,0.537,0.182,2.05280181737787e-222,12,Btbd11
7.36649691935864e-219,1.69949042927704,0.65,0.278,1.82689123600094e-216,12,Mdga1
1.64597694517919e-171,1.64662886982722,0.277,0.065,4.0820228240444e-169,12,Cbln1
3.88007459753643e-161,2.39950334598087,0.431,0.158,9.62258500189035e-159,12,Tmem255a
4.1984854892345e-138,2.89906013554104,0.213,0.05,1.04122440133015e-135,12,Ebf3
5.45103974878598e-134,1.32385463722152,0.526,0.229,1.35185785769892e-131,12,Inpp4b
3.63100523085366e-109,2.43422290698139,0.213,0.059,9.00489297251708e-107,12,Pde11a
5.34916642030123e-95,1.35042425281987,0.422,0.191,1.32659327223471e-92,12,Foxp2
7.20405483930781e-41,1.45070449093003,0.151,0.057,1.78660560014834e-38,12,Ndst4
7.72357416503526e-12,1.25610993914402,0.147,0.092,1.91544639292875e-09,12,Sema3d
0,4.19263915784859,0.996,0.234,0,13,Gad2
0,3.53426722921559,0.872,0.235,0,13,Rab3b
0,3.19292084503959,1,0.432,0,13,Gad1
0,3.33693178186976,0.567,0.071,0,13,Igf1
0,2.99474066880761,0.628,0.162,0,13,Col19a1
0,6.30883041403397,0.426,0.017,0,13,Sst
0,3.71707238782146,0.307,0.043,0,13,Cort
0,1.59770767842387,0.997,0.805,0,13,Dner
1.76910030519866e-300,2.16031583362047,0.615,0.187,4.38736875689267e-298,13,Kcnmb2
3.12491760038302e-218,3.22711794022534,0.286,0.057,7.7497956489499e-216,13,Pde11a
1.74956269384066e-216,1.17808013979879,0.882,0.441,4.33891548072483e-214,13,Rasgrf2
1.42294111501708e-213,2.35648290947731,0.701,0.341,3.52889396524235e-211,13,Cdh13
6.93375143334795e-181,2.38555660139171,0.558,0.229,1.71957035547029e-178,13,Hapln1
5.13324647230604e-156,1.27705250187713,0.515,0.184,1.2730451251319e-153,13,Btbd11
1.64445219871696e-154,1.40992516752939,0.76,0.431,4.07824145281806e-152,13,Neto2
4.57512354683787e-152,2.8736109596006,0.36,0.116,1.13463063961579e-149,13,Rbp4
5.43980952190745e-120,1.45829931265446,0.333,0.11,1.34907276143305e-117,13,Cplx3
6.99951306760466e-119,1.46409389001813,0.514,0.225,1.73587924076596e-116,13,Galnt14
1.67779825937703e-97,1.64900120709256,0.576,0.323,4.16093968325503e-95,13,Lypd6
5.23315515998825e-91,3.0233151361225,0.235,0.075,1.29782247967709e-88,13,Pdyn
